types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Actress109767700,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Wikicat20th-centuryAmericanActresses,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
http://dbpedia.org/class/yago/Wikicat21st-centuryAmericanActresses,http://dbpedia.org/resource/Lindsey_McKeon,Lindsey McKeon,52,85,1.0,0.0,1,4,== Family ==
