types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedIn1990,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/Choir108188638,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/Chorus108187837,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Prague_Chamber_Choir,Prague Chamber Choir,17,162,1.0,0.0,9,3,== Biography ==
