types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatRolandSynthesizers,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/Synthesist110687231,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
http://dbpedia.org/class/yago/WikicatSynthesizers,http://dbpedia.org/resource/Roland_Jupiter-6,Jupiter-6,29,81,1.0,0.0,10,12,== As a member of Blondie (2008–present) ==
